Date,Close,Open,High,Low,Volume,Change %,Vol.
7/3/2013,2203.83,2211.04,2211.04,2169.14,65840,-0.82%,65.84
7/4/2013,2221.98,2187.18,2245.91,2176.08,72580,0.82%,72.58
7/5/2013,2226.85,2227.35,2252.03,2225.05,61820,0.22%,61.82
7/8/2013,2163.62,2194.42,2205.21,2162.19,54780,-2.84%,54.78
7/9/2013,2162.67,2160.7,2174.79,2149.79,41490,-0.04%,41.49
7/10/2013,2224.07,2163.1,2224.14,2157.47,61150,2.84%,61.15
7/11/2013,2326.69,2232.16,2351.22,2232.16,125790,4.61%,125.79
7/12/2013,2275.37,2319.02,2331.99,2274.07,89730,-2.21%,89.73
7/15/2013,2307.3,2289.76,2336.04,2274.67,74760,1.40%,74.76
7/16/2013,2317.85,2300.83,2317.85,2281.94,65620,0.46%,65.62
7/17/2013,2282.84,2311.44,2326.93,2281.61,67660,-1.51%,67.66
7/18/2013,2245.33,2272.95,2282.43,2241.93,57140,-1.64%,57.14
7/19/2013,2190.48,2248.13,2257.92,2188.75,70540,-2.44%,70.54
7/22/2013,2202.19,2170.09,2203.06,2159.81,53280,0.53%,53.28
7/23/2013,2265.84,2211.59,2276.74,2206.76,74810,2.89%,74.81
7/24/2013,2249.15,2253.38,2265.58,2217.19,69590,-0.74%,69.59
7/25/2013,2237.68,2255.22,2268.84,2227.85,65770,-0.51%,65.77
7/26/2013,2224.01,2226.43,2238.42,2209.81,48940,-0.61%,48.94
7/29/2013,2175.97,2205.08,2205.08,2169.02,54600,-2.16%,54.6
7/30/2013,2189.39,2184.01,2221.59,2162.98,55190,0.62%,55.19
7/31/2013,2193.02,2211.75,2235.38,2187.21,48330,0.17%,48.33
8/1/2013,2245.36,2206,2245.56,2200.63,62600,2.39%,62.6
8/2/2013,2247.26,2263.49,2274.71,2244.25,60890,0.08%,60.89
8/5/2013,2278.33,2249.98,2278.33,2243.22,55340,1.38%,55.34
8/6/2013,2293.64,2270.67,2302.48,2256.72,73750,0.67%,73.75
8/7/2013,2280.62,2292.38,2313.88,2276.86,73050,-0.57%,73.05
8/8/2013,2276.78,2277.25,2297.63,2267.07,53100,-0.17%,53.1
8/9/2013,2286.01,2288.51,2301.59,2258.33,64600,0.41%,64.6
8/12/2013,2352.79,2296.22,2352.89,2293.18,97860,2.92%,97.86
8/13/2013,2359.07,2352.88,2360.83,2340.73,78390,0.27%,78.39
8/14/2013,2349.08,2362.62,2386.6,2340.83,75940,-0.42%,75.94
8/15/2013,2321.58,2348.84,2362.09,2319.78,61950,-1.17%,61.95
8/16/2013,2304.14,2314.26,2423.08,2295.02,120370,-0.75%,120.37
8/19/2013,2331.43,2286.2,2340.19,2284.08,72480,1.18%,72.48
8/20/2013,2312.47,2325.86,2353.41,2303.67,73090,-0.81%,73.09
8/21/2013,2308.59,2320.58,2321.64,2291.05,55010,-0.17%,55.01
